scenario_id,category,full_omni_score,selector_off_score,grouping_off_score,source_aware_fusion_off_score,full_minus_selector,full_minus_grouping,full_minus_fusion
development-v2-cognitive_continuity-001,cognitive_continuity,0.8333333333333334,0.8666666666666667,1,0.9499999999999998,-0.033333333333333326,-0.16666666666666663,-0.11666666666666647
development-v2-cognitive_continuity-002,cognitive_continuity,1,0.6,1,1,0.4,0,0
development-v2-cognitive_continuity-003,cognitive_continuity,1,0.6833333333333332,1,0.9166666666666666,0.31666666666666676,0,0.08333333333333337
development-v2-cognitive_continuity-004,cognitive_continuity,1,0.5499999999999999,1,0.75,0.45000000000000007,0,0.25
development-v2-cognitive_continuity-005,cognitive_continuity,1,0.8666666666666667,1,1,0.1333333333333333,0,0
development-v2-conflict_resolution-001,conflict_resolution,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666674,0,0
development-v2-conflict_resolution-002,conflict_resolution,1,0.611111111111111,0.8333333333333334,0.8333333333333334,0.38888888888888895,0.16666666666666663,0.16666666666666663
development-v2-conflict_resolution-003,conflict_resolution,0.8333333333333334,0.2222222222222222,0.8333333333333334,0.8333333333333334,0.6111111111111112,0,0
development-v2-conflict_resolution-004,conflict_resolution,0.8333333333333334,0.38888888888888884,0.8333333333333334,0.8333333333333334,0.44444444444444453,0,0
development-v2-conflict_resolution-005,conflict_resolution,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666674,0,0
development-v2-cross_agent_transfer-001,cross_agent_transfer,1,0.7777777777777777,0.7777777777777777,1,0.22222222222222232,0.22222222222222232,0
development-v2-cross_agent_transfer-002,cross_agent_transfer,1,0.6666666666666666,1,1,0.33333333333333337,0,0
development-v2-cross_agent_transfer-003,cross_agent_transfer,1,0.9444444444444443,1,1,0.05555555555555569,0,0
development-v2-cross_agent_transfer-004,cross_agent_transfer,1,0.1111111111111111,1,1,0.8888888888888888,0,0
development-v2-cross_agent_transfer-005,cross_agent_transfer,1,1,1,1,0,0,0
development-v2-decision_quality-001,decision_quality,0.7870370370370371,0.7407407407407407,0.7685185185185185,0.7870370370370371,0.04629629629629639,0.0185185185185186,0
development-v2-decision_quality-002,decision_quality,0.7962962962962963,0.7181481481481482,0.8148148148148149,0.7685185185185185,0.07814814814814808,-0.0185185185185186,0.02777777777777779
development-v2-decision_quality-003,decision_quality,0.7870370370370371,0.4907407407407407,0.7962962962962963,0.7685185185185185,0.2962962962962964,-0.00925925925925919,0.0185185185185186
development-v2-decision_quality-004,decision_quality,0.8425925925925927,0.6296296296296295,0.8425925925925927,0.824074074074074,0.21296296296296313,0,0.018518518518518712
development-v2-decision_quality-005,decision_quality,0.8518518518518517,0.7592592592592593,0.8148148148148149,0.7503703703703705,0.09259259259259245,0.03703703703703687,0.10148148148148128
development-v2-human_like_forgetting-001,human_like_forgetting,0.8333333333333334,1,1,1,-0.16666666666666663,-0.16666666666666663,-0.16666666666666663
development-v2-human_like_forgetting-002,human_like_forgetting,1,1,1,1,0,0,0
development-v2-human_like_forgetting-003,human_like_forgetting,0.6944444444444445,0.6944444444444445,0.5833333333333334,0.8611111111111112,0,0.11111111111111116,-0.16666666666666663
development-v2-human_like_forgetting-004,human_like_forgetting,0.6944444444444445,0.8611111111111112,0.27777777777777785,0.9444444444444445,-0.16666666666666663,0.4166666666666667,-0.25
development-v2-human_like_forgetting-005,human_like_forgetting,1,1,1,1,0,0,0
development-v2-memory_evolution-001,memory_evolution,0.736111111111111,0.736111111111111,1,1,0,-0.26388888888888895,-0.26388888888888895
development-v2-memory_evolution-002,memory_evolution,0.736111111111111,0.648148148148148,0.9120370370370371,1,0.08796296296296302,-0.17592592592592604,-0.26388888888888895
development-v2-memory_evolution-003,memory_evolution,0.7738095238095238,0.35912698412698413,0.6984126984126985,0.736111111111111,0.4146825396825397,0.07539682539682535,0.037698412698412787
development-v2-memory_evolution-004,memory_evolution,1,1,0.736111111111111,0.736111111111111,0,0.26388888888888895,0.26388888888888895
development-v2-memory_evolution-005,memory_evolution,1,1,1,1,0,0,0
development-v2-proactive_insight-001,proactive_insight,1,0.6875,0.65625,0.84375,0.3125,0.34375,0.15625
development-v2-proactive_insight-002,proactive_insight,0.84375,0.625,0.78125,0.8125,0.21875,0.0625,0.03125
development-v2-proactive_insight-003,proactive_insight,0.78125,0.59375,0.78125,0.6875,0.1875,0,0.09375
development-v2-proactive_insight-004,proactive_insight,0.875,0.53125,0.9375,0.84375,0.34375,-0.0625,0.03125
development-v2-proactive_insight-005,proactive_insight,0.84375,0.8125,0.78125,0.84375,0.03125,0.0625,0
